,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9939.0,9939.0,9939.0,9939.0,9939.0,9939.0,9938.0,9938.0
mean,0.354421800503432,0.2593594214746021,0.5047369997193125,0.40700359257549334,0.3378685111381094,0.8790397624278016,0.9065392658183407,0.018436953392420286
std,0.5432953402324783,0.3579528115867553,0.3756440170999929,0.21457446538509378,0.17516549516434138,0.2785633428594359,0.09405022919605453,0.013265859163478068
min,0.0,0.0,0.0,0.0,0.0,-0.5565075874328613,0.2542356252670288,0.0
25%,0.0769230769230769,0.0571428571428571,4.240382580579769e-78,0.33301481091659646,0.29305642248366254,0.9516028463840485,0.880040779709816,0.009760245680808976
50%,0.1923076923076923,0.1666666666666666,0.6169034543248991,0.387628205128205,0.3291719820212466,0.9918673038482666,0.94455286860466,0.01518514752387995
75%,0.4545454545454545,0.3333333333333333,0.8229612434359798,0.47525004757147593,0.3859374355802926,0.9986190497875214,0.9666679203510284,0.023260891437530424
max,18.33333333333333,10.125,1.0,1.0,1.0,1.000000238418579,0.9999999403953552,0.2590712308883667
