,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9937.0,9937.0,9937.0,9937.0,9937.0,9937.0,9935.0,9935.0
mean,0.34630917369350783,0.2363298037492588,0.5121177278940197,0.41848761040454496,0.34681310247576586,0.8993370628735686,0.9221517039353246,0.016308988598524487
std,0.4718371208474965,0.2777195915905114,0.36047870338848975,0.20588624517593684,0.1664458437142139,0.24639574303945838,0.0714707304627513,0.011276429398245273
min,0.0,0.0,0.0,0.0,0.0,-0.5459036827087402,0.4419841170310974,0.0013786554336547
25%,0.0952380952380952,0.0666666666666666,6.562069055463047e-78,0.3385058972486252,0.296908166530015,0.9609523415565492,0.9064534902572632,0.00871649384498595
50%,0.2,0.16,0.6161535062270621,0.3927392919580418,0.3322472579858653,0.9911659955978394,0.9475519061088562,0.0135843753814697
75%,0.4117647058823529,0.3125,0.8057434707897398,0.4811965811965812,0.3893648200020747,0.9978270530700684,0.9665093421936035,0.020491749048233
max,11.0,8.0,1.0,1.0,1.0,1.000000238418579,0.993529200553894,0.1325303316116333
