,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5176.0,5176.0,5176.0,5176.0,5176.0,5176.0,5176.0,5176.0
mean,0.3339594792641992,0.25862615777470427,0.4670302989561904,0.40549129247578647,0.338184810780678,0.9158183779323493,0.9058669419582053,0.019402620286163946
std,0.3704410947840569,0.2571179721503872,0.3380707996224042,0.20094262553573147,0.1584547267066724,0.20967835998738782,0.08928521939156958,0.016864437006128455
min,0.0,0.0,0.0,0.0,0.0,-0.5509762763977051,0.2094268500804901,0.0012869238853454
25%,0.125,0.0869565217391304,1.2213386697554703e-77,0.3269025791715613,0.291470412008289,0.9580465257167817,0.8890671283006668,0.0096715092658996
50%,0.25,0.2,0.5185657881742454,0.3761723615890281,0.325700985217041,0.9852752387523651,0.9349693059921265,0.0151532292366027
75%,0.4285714285714285,0.3529411764705882,0.7348889200874658,0.4575576044326044,0.37431920926897,0.9953124970197678,0.9586789011955261,0.02340042591094965
max,7.0,2.6666666666666665,1.0,1.0,1.0,1.000000238418579,0.9941267371177672,0.2786976099014282
