,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5234.0,5234.0,5234.0,5234.0,5234.0,5234.0,5254.0,5254.0
mean,0.48161967677916123,0.34210634335761547,0.362855311583846,0.3731748955347902,0.31608001246533146,0.8650562304191656,0.8839628231425588,0.017731104620427787
std,0.4834918411915023,0.3322042751557768,0.31035144896473155,0.18901977650961138,0.14884297876988634,0.27481552887350835,0.09083669878455651,0.01221308923521649
min,0.0,0.0,0.0,0.0,0.0,-0.5870654582977295,0.3744775056838989,0.0014404654502868
25%,0.2222222222222222,0.1428571428571428,2.1611229041331563e-78,0.3155621346732168,0.2847728253767943,0.9251436591148376,0.8490887582302094,0.009659931063651976
50%,0.3636363636363636,0.25439137134052386,0.3856585832258865,0.36627475008156823,0.3197439992309607,0.9763746857643127,0.9148842394351959,0.014761179685592651
75%,0.5909090909090909,0.4285714285714285,0.6001849637194047,0.4338412055631443,0.36531693287734646,0.9906427562236786,0.9480483680963516,0.022444054484367322
max,8.0,3.6666666666666665,1.0,1.0,1.0,1.0000003576278689,0.9924411177635192,0.1503814458847046
