,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0,2231.0,2231.0
mean,0.3364094028182705,0.24253442215856225,0.5065441868967091,0.4109200615282707,0.34149217473776,0.8941502009067589,0.9050720857697611,0.0178683529729428
std,0.47156781177413326,0.34567327790841895,0.37961732150571503,0.19832002627326464,0.16277169762930163,0.2555353536186072,0.08992331918446209,0.012934206610423661
min,0.0,0.0,0.0,0.0,0.0,-0.5710861086845398,0.2751072943210602,0.0016393661499023
25%,0.074074074074074,0.054054054054054,4.797597231912944e-78,0.3382506382506381,0.2968394628777664,0.9475398063659668,0.8651697039604187,0.0096771419048309
50%,0.2,0.1666666666666666,0.6101152191272359,0.3936461108336108,0.3307242757242757,0.9909427165985109,0.9413968920707704,0.0148797631263732
75%,0.4827586206896552,0.3333333333333333,0.8290291181804004,0.4785037878787875,0.3855482383113972,0.9987892508506776,0.9666968584060668,0.0223217010498046
max,8.4,10.125,1.0,1.0,1.0,1.000000238418579,0.9920817613601683,0.2590712308883667
