,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9892.0,9892.0,9892.0,9892.0,9892.0,9892.0,9890.0,9890.0
mean,0.45542919419525296,0.3446150427691092,0.3733986909355492,0.4014414097369842,0.33725123249985894,0.8775643203974304,0.8936419826999111,0.019035901133765777
std,0.45141847080787684,0.3380797439279443,0.3085698207770832,0.20117761507793477,0.16341692538317426,0.25290773917931264,0.09402435624012459,0.017671500946301048
min,0.0,0.0,0.0,0.0,0.0,-0.6621638536453247,0.2263602018356323,0.0014630556106567
25%,0.2105263157894736,0.15625,3.690122608639576e-78,0.3263312097348665,0.2911554363968784,0.9218268692493439,0.8763624131679535,0.008880242705345074
50%,0.3428571428571428,0.2666666666666666,0.4171852999885143,0.377828448068386,0.32515254583814757,0.977825403213501,0.9238290786743164,0.01441907882690425
75%,0.5555555555555556,0.436013986013986,0.6245469053615945,0.46364795918367346,0.3785579387465482,0.9913461953401567,0.9503923207521439,0.0230200290679931
max,8.0,11.0,1.0,1.0,1.0,1.000000238418579,0.9906054735183716,0.2786968946456909
