,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3183.0,3183.0,3183.0,3183.0,3183.0,3183.0,3178.0,3178.0
mean,0.6238270999683291,0.43407374185012926,0.28200205204763734,0.3692310740172901,0.3126168458572431,0.8139357592215913,0.8667655511705886,0.018077719672961033
std,0.5915972747854599,0.4046642855802358,0.2925879832318224,0.20417532525745097,0.16386057149163388,0.3143191902580523,0.0976214664714029,0.01262694223355592
min,0.0,0.0,0.0,0.0,0.0,-0.5870654582977295,0.4420544803142547,0.001380980014801
25%,0.28,0.1904761904761904,6.8489908526642754e-155,0.30868855852283217,0.2806541534333442,0.8206100463867188,0.8238253444433212,0.0094528496265411
50%,0.46875,0.32,0.2550437748315942,0.3645257520257517,0.3177068075905834,0.9651241302490234,0.8978080451488495,0.015019118785858099
75%,0.75,0.5454545454545454,0.5133450480401704,0.4422771937057651,0.36887014959211456,0.987343966960907,0.9393521994352341,0.023275986313819823
max,7.0,5.0,1.0,1.0,1.0,1.000000238418579,0.9925279021263124,0.142258882522583
