,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3157.0,3157.0,3157.0,3157.0,3157.0,3157.0,0.0,0.0
mean,0.5563587107380092,0.4373426350504112,0.36898985191402106,0.4005571926483561,0.32829943192166794,0.843159066233666,,
std,0.6001330155986865,0.43025940843150595,0.3485604070104991,0.23177491335785985,0.18339644799190372,0.2809457510050922,,
min,0.0,0.0,0.0,0.0,0.0,-0.5844628810882568,,
25%,0.1818181818181818,0.131578947368421,7.57965434483665e-155,0.3266217748754518,0.2871436124778343,0.8400351405143738,,
50%,0.4,0.3125,0.3784481137591871,0.3856811706811706,0.3287361164912183,0.97432941198349,,
75%,0.7777777777777778,0.6666666666666666,0.6844583947555523,0.4795321637426901,0.3902598944265609,0.9937942028045654,,
max,7.0,4.5,1.0,1.0,1.0,1.000000238418579,,
