,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0,2229.0,2229.0
mean,0.477203771448589,0.3345819940119903,0.3525682244340962,0.3833458900344517,0.32523205320969634,0.8673308296179156,0.8851519328775616,0.016327752399572883
std,0.43362299000807686,0.2930703373206088,0.3090870143451342,0.18411400143869533,0.15132870472602467,0.2677488893089298,0.08617780565516144,0.011018291477710997
min,0.0,0.0,0.0,0.0,0.0,-0.5513814687728882,0.438887357711792,0.0015892386436462
25%,0.2272727272727272,0.1521739130434782,1.4916681462400622e-154,0.3220738795456838,0.2898271112121057,0.9198235273361206,0.8522592782974243,0.0086557269096374
50%,0.3703703703703703,0.2647058823529412,0.3716338348917944,0.3729616874353715,0.3222434490501716,0.975208818912506,0.9125806093215942,0.0136870741844177
75%,0.6,0.4347826086956521,0.5908871032231056,0.4468153759820423,0.3709587167791501,0.9901458024978638,0.9459229111671448,0.0204643011093139
max,7.0,3.6666666666666665,1.0,1.0,1.0,1.000000238418579,0.9909570217132568,0.1248239278793335
