,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0,2215.0
mean,0.6360217943157732,0.4920686199148383,0.25169950870772856,0.3347336424426217,0.29077684974247675,0.7909101804741501,0.8128532670825115,0.020593206311994378
std,0.6031195803640922,0.49238313961301533,0.29193653518189916,0.17092518510956323,0.14042824475910856,0.33102381994206,0.1321614590736938,0.014118942535487181
min,0.0,0.0,0.0,0.0,0.0,-0.5279398560523987,0.3444932103157043,0.0018660426139831
25%,0.3,0.2272727272727272,1.2882297539194156e-231,0.29067655453905283,0.2727588538857993,0.7962312400341034,0.7416774034500122,0.010794311761856
50%,0.5,0.4,0.1075490607164011,0.3543026591154933,0.3124260152159931,0.95456200838089,0.8413166999816895,0.0173279643058776
75%,0.8333333333333334,0.6363636363636364,0.4977462132169007,0.4162252033680604,0.35228524435337794,0.9850305914878845,0.9221819639205933,0.0258764326572418
max,14.5,10.5,1.0,1.0,1.0,1.000000238418579,0.992979884147644,0.1340673565864563
