,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0,0.0,0.0
mean,0.2894689318261274,0.20163750893381063,0.5586851325987571,0.42469595973281327,0.3513365036732579,0.9235113522148805,,
std,0.45288734900859057,0.2869067684589765,0.3538852522751222,0.1918408376412106,0.1545341726669342,0.21455485171594646,,
min,0.0,0.0,0.0,0.0,0.0,-0.6236554980278015,,
25%,0.0697674418604651,0.0476190476190476,0.3066148710292675,0.3435897435897436,0.3011624778491392,0.9745128750801086,,
50%,0.1666666666666666,0.125,0.6582199215756274,0.3984126984126985,0.3341123287253711,0.993353545665741,,
75%,0.3333333333333333,0.2727272727272727,0.8343519768888821,0.4789115646258503,0.3878006291871839,0.9988842010498048,,
max,11.0,8.0,1.0,1.0,1.0,1.000000238418579,,
