,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3181.0,3181.0,3181.0,3181.0,3181.0,3181.0,3182.0,3182.0
mean,0.8928944768953767,0.7838336980099565,0.19864854820681774,0.3078504370856138,0.2689228194338728,0.7166851318512476,0.7816218922885239,0.02933676131561366
std,2.366585510998649,1.6678134226991037,0.2695612649853224,0.18656911160777556,0.15533293032031462,0.3801120908478002,0.14729074936827968,0.02985762980932884
min,0.0,0.0,0.0,0.0,0.0,-0.6712109446525574,0.1636221408843994,0.0018659830093383
25%,0.3571428571428571,0.282051282051282,1.0003688322288244e-231,0.2287393162393162,0.2311840779333038,0.5504738092422485,0.6813494265079498,0.0122747868299484
50%,0.6363636363636364,0.4897959183673469,2.8498453514942967e-78,0.3378206978206978,0.3026402895394474,0.93218994140625,0.8115927577018738,0.0200935304164886
75%,1.0,0.8571428571428571,0.4029883231412915,0.4022436359936358,0.3450897250897249,0.9801679253578186,0.9089751392602922,0.03478722274303433
max,112.0,56.0,1.0,1.0,1.0,1.000000238418579,0.9894742965698242,0.3925771117210388
