,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3138.0,3138.0,3138.0,3138.0,3138.0,3138.0,3138.0,3138.0
mean,0.8130845931350639,0.6083941118712115,0.20391220209453112,0.3122660551887934,0.27272538553238607,0.7284976164166328,0.7860033375070382,0.02284450241150253
std,2.236116037021548,1.2240295522437676,0.2733237582220644,0.18515946132547995,0.15409052256794062,0.37228630394988443,0.14368096999604343,0.018182089872570646
min,0.0,0.0,0.0,0.0,0.0,-0.6712109446525574,0.1636221408843994,0.0018660426139831
25%,0.3478260869565217,0.2727272727272727,1.0244914152188953e-231,0.24337606837606834,0.23779370544173165,0.5882324576377869,0.6918924897909164,0.011676013469695976
50%,0.625,0.4711431742508324,3.191972140609566e-78,0.33943578742685876,0.3033956069973231,0.9355387389659882,0.8131567537784576,0.0184801816940307
75%,1.0,0.7777777777777778,0.4111336169005197,0.40335379218328765,0.3461787867002538,0.9806494563817978,0.9099816530942917,0.029462426900863575
max,111.0,55.5,1.0,1.0,1.0,1.000000238418579,0.9903806447982788,0.3842782378196716
