,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0,5014.0,5014.0
mean,0.3966399257250191,0.28547270459689406,0.4191554725536859,0.3891962167843576,0.330776879266356,0.9369937897240957,0.9023693515263471,0.017291995993543013
std,0.30880620489508115,0.23107393584081415,0.28407620217183494,0.14764222635019192,0.11212289580217899,0.15775592831296975,0.07271770088401248,0.012330436198909733
min,0.0,0.0,0.0,0.0,0.0,-0.5175696611404419,0.3744775056838989,0.001380980014801
25%,0.2105263157894736,0.1379310344827586,0.22085900679480613,0.3272638860322683,0.2939539160506014,0.9571362733840942,0.8786542862653732,0.0090508311986923
50%,0.3333333333333333,0.2352941176470588,0.4421973227177667,0.3682456024367788,0.3216689796350461,0.980760395526886,0.9243005216121674,0.014258325099945
75%,0.5,0.375,0.6272517339014033,0.4312850161534372,0.36123877499910545,0.9912567138671875,0.9502958953380586,0.02188131213188165
max,4.5,3.6666666666666665,1.0,1.0,1.0,1.0000003576278689,0.9924411177635192,0.1503814458847046
