,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3182.0,3182.0,3182.0,3182.0,3182.0,3182.0,3177.0,3177.0
mean,0.38765591092438034,0.2577450554906543,0.4876463775137928,0.418677262115008,0.3435656247348748,0.8834565743419975,0.9136830465314071,0.0164742751394685
std,0.5729172957993475,0.34035899359046246,0.3699971368250455,0.21866257978150147,0.17008346772733887,0.2636482119177033,0.08193285933241568,0.011948503130221295
min,0.0,0.0,0.0,0.0,0.0,-0.6236554980278015,0.4419841170310974,0.0013786554336547
25%,0.09375,0.0652173913043478,5.021333847570327e-78,0.33720675090160385,0.2945074709218847,0.9458521902561188,0.8967894315719604,0.008582055568695
50%,0.2121212121212121,0.16,0.5877562071484246,0.39313338667505326,0.3325448522104566,0.9899678230285645,0.9444634914398192,0.0134099721908569
75%,0.47291021671826616,0.3333333333333333,0.793586154772511,0.4816257816257816,0.392630503177378,0.99790458381176,0.9647651314735411,0.0208005905151367
max,11.0,8.0,1.0,1.0,1.0,1.000000238418579,0.9920817613601683,0.141419231891632
