,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3185.0,3185.0,3185.0,3185.0,3185.0,3185.0,3185.0,3185.0
mean,0.45135618476640255,0.32841164060603056,0.4581815612008634,0.40203621039328746,0.3313847020161573,0.8484074403600566,0.8937342860728643,0.02199591446895984
std,0.7884924451918375,0.5841153361099075,0.38806490600734317,0.22298234182355212,0.17781530806647783,0.3064022177246353,0.10581513147908969,0.021143441978729208
min,0.0,0.0,0.0,0.0,0.0,-0.5565075874328613,0.2595443725585937,0.0
25%,0.0833333333333333,0.0625,1.0547686614863434e-154,0.3293515117063878,0.2893503744198202,0.915166676044464,0.8541237115859985,0.0102755427360534
50%,0.2272727272727272,0.1851851851851851,0.537284965911771,0.3879401848151849,0.3285819854536429,0.9885069727897644,0.9372975826263428,0.015887439250946
75%,0.5185185185185185,0.3793103448275862,0.8109445580753176,0.4777918323506559,0.3886103035819646,0.9984725713729858,0.964637577533722,0.025563895702362
max,18.666666666666668,10.125,1.0,1.0,1.0,1.000000238418579,1.0,0.2590711712837219
