,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4973.0,4973.0,4973.0,4973.0,4973.0,4973.0,0.0,0.0
mean,0.3751515402604131,0.3042209941413651,0.5078902920550306,0.4020831966466441,0.33452058169250876,0.9375301886034544,,
std,0.34817449212562973,0.2892979222674144,0.30898349851646895,0.17619867415635823,0.1359468499063062,0.14843988655219004,,
min,0.0,0.0,0.0,0.0,0.0,-0.6430333852767944,,
25%,0.1428571428571428,0.09375,0.2790159393585827,0.3376742305313734,0.2968359036605061,0.9544098377227784,,
50%,0.2608695652173913,0.2,0.5909507081271016,0.3803735299787926,0.3277598165185573,0.9863998889923096,,
75%,0.5,0.4285714285714285,0.7588307923045049,0.4532627865961199,0.3713418135409107,0.9949175715446472,,
max,5.75,4.416666666666667,1.0,1.0,1.0,1.0000001192092896,,
