,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5252.0,5252.0,5252.0,5252.0,5252.0,5252.0,5275.0,5275.0
mean,0.3125435790905923,0.2334467751556715,0.5281057603729106,0.3980566702366137,0.3312819418743678,0.8999507389723281,0.9087912896346142,0.018583211514622066
std,0.4705248028235258,0.34520593206766526,0.3836619157843718,0.2073399036280789,0.16675031915717475,0.24988384603984087,0.09250833529186088,0.013292241011971441
min,0.0,0.0,0.0,0.0,0.0,-0.5565075874328613,0.2751072943210602,0.0
25%,0.0588235294117647,0.04,5.327392271747226e-78,0.3307546228000987,0.2914392063191401,0.9600586742162704,0.8763399720191956,0.01000937819480895
50%,0.1666666666666666,0.1428571428571428,0.6460180660245605,0.381405139386757,0.3270894291761338,0.9930452108383179,0.947445034980774,0.0152491331100463
75%,0.4210526315789473,0.3181818181818182,0.8605147409263733,0.46257290163540143,0.37752979129838304,0.9992880672216417,0.9690936207771301,0.02316308021545405
max,8.4,10.125,1.0,1.0,1.0,1.0000003576278689,0.9999998807907104,0.2590712308883667
