,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5254.0,5254.0,5254.0,5254.0,5254.0,5254.0,5277.0,5277.0
mean,0.32549534392989327,0.2470064228466066,0.5252595916042507,0.39844061253173546,0.331717213928472,0.8981060135103109,0.9094307674294465,0.02143507238046129
std,0.5227088237960137,0.4229508091662394,0.3834573324692352,0.20662664789642224,0.16601628009038139,0.25045765358351063,0.09172752906776077,0.01997277954636924
min,0.0,0.0,0.0,0.0,0.0,-0.5565075874328613,0.2751072943210602,0.0
25%,0.0588235294117647,0.0416666666666666,5.053688923597189e-78,0.3308748501558957,0.2917857577451489,0.9573457986116409,0.879515528678894,0.0101418495178222
50%,0.1666666666666666,0.1428571428571428,0.6434588841607617,0.38179821948934844,0.3273837469055607,0.9929505884647369,0.9473553895950316,0.0156438946723938
75%,0.4285714285714285,0.3214285714285714,0.8559904543140653,0.4624465811965809,0.3776804633980571,0.999232217669487,0.9688425660133362,0.0250276327133178
max,9.0,10.125,1.0,1.0,1.0,1.0000003576278689,0.9999998807907104,0.2590711712837219
