,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5235.0,5235.0,5235.0,5235.0,5235.0,5235.0,5253.0,5253.0
mean,0.6528431711795487,0.5612589165050413,0.2633596594772762,0.3314659721654061,0.28624536932103123,0.7987136581253506,0.8162117133067037,0.02771483897572805
std,0.7338330904995823,0.7293536120508373,0.29465898074378977,0.17961996134744887,0.1447875395593113,0.3290706598214085,0.1336633095237336,0.026051950405109447
min,0.0,0.0,0.0,0.0,0.0,-0.6500102281570435,0.2983603477478027,0.0
25%,0.2727272727272727,0.2156862745098039,1.384292958842266e-231,0.288525599589405,0.2698981362049047,0.8101862967014313,0.7489936947822571,0.0122210979461669
50%,0.5,0.3898305084745763,0.1798946750551435,0.3493194607785899,0.3104198168392265,0.9584656357765198,0.8487207293510437,0.0193951725959777
75%,0.8333333333333334,0.6470588235294118,0.5020847372516557,0.4106895069016281,0.3522520572575229,0.9862422347068787,0.9245797395706176,0.032771348953247
max,21.0,19.58333333333333,1.0,1.0,1.0,1.000000238418579,1.000000238418579,0.239438772201538
