,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5185.0,5185.0,5185.0,5185.0,5185.0,5185.0,5201.0,5201.0
mean,0.6096779081602116,0.47009154107488055,0.27029282339704014,0.33449447321308584,0.288735136105069,0.8072437189279614,0.8191016039477474,0.021716488482653645
std,0.5811324597024262,0.4224708173427033,0.29799014155374914,0.17809704585746536,0.1433342745966894,0.3209010426110697,0.13136770847001034,0.015114804263150827
min,0.0,0.0,0.0,0.0,0.0,-0.6500102281570435,0.2093711793422699,0.0018101334571838
25%,0.2692307692307692,0.2083333333333333,1.4488496539373276e-231,0.2922782641048894,0.2723423833190855,0.8270679712295532,0.752231240272522,0.0116857886314392
50%,0.5,0.3809523809523809,0.1942420731273492,0.3505278332778331,0.3112284217044276,0.959775686264038,0.8509596586227417,0.018009603023529
75%,0.8,0.6166666666666667,0.5158495511851497,0.412037037037037,0.3526051532224926,0.9865655303001404,0.9256579875946044,0.0276147127151489
max,10.761904761904765,7.4,1.0,1.0,1.0,1.000000238418579,0.9905028343200684,0.2183576822280883
