,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4963.0,4963.0,4963.0,4963.0,4963.0,4963.0,4960.0,4960.0
mean,0.29450663465053867,0.2401811891378676,0.5197969716132942,0.39849982524688615,0.3363967900887494,0.9517568436353864,0.9158423472015608,0.019369212429850288
std,0.23678208224745226,0.2099113249847299,0.29890249767464444,0.15468531625860965,0.11804298422714005,0.1390757142117854,0.07778824226512127,0.01759746521196199
min,0.0,0.0,0.0,0.0,0.0,-0.6496042609214783,0.2445023655891418,0.0012868642807006
25%,0.1333333333333333,0.0952380952380952,0.3439431098512048,0.3304578483070385,0.2950764646596869,0.9677856266498566,0.9031658470630646,0.009375244379043525
50%,0.25,0.1935483870967742,0.5607900239988007,0.3716897710133001,0.3231631653334751,0.9863772988319396,0.9376863539218903,0.0149438977241516
75%,0.4,0.3333333333333333,0.7354619476336501,0.43753478664192946,0.3627492659845605,0.9946546852588654,0.959720104932785,0.02297878265380855
max,2.0,3.0,1.0,1.0,1.0,1.000000238418579,0.9922041296958924,0.2786968946456909
