,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4989.0,4989.0,4989.0,4989.0,4989.0,4989.0,5024.0,5024.0
mean,0.23173546679505924,0.18358559427653234,0.6258038035517508,0.4090255107795438,0.34196085398784054,0.9560282911248856,0.9277291883696701,0.018719588376723984
std,0.3046688620761906,0.22935892057352575,0.3311924541649335,0.16132903771176502,0.12452850746399127,0.14422308857119387,0.07250042332899126,0.01321072613242368
min,0.0,0.0,0.0,0.0,0.0,-0.2629762887954712,0.3842583000659942,0.0016393661499023
25%,0.0571428571428571,0.0384615384615384,0.4436260887401707,0.3406604198270864,0.29907966262133,0.9787168502807616,0.9182717800140381,0.0100573003292083
50%,0.1428571428571428,0.1176470588235294,0.7224553130054806,0.3821029169243454,0.3283063464313464,0.9942964911460876,0.955818235874176,0.0156115293502807
75%,0.3,0.2558139534883721,0.880771385653411,0.4542857142857144,0.3728347453405362,0.998738169670105,0.9709558486938477,0.02366298437118525
max,7.0,6.5,1.0,1.0,1.0,1.0000003576278689,0.9939593076705932,0.1752136945724487
