,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4965.0,4965.0,4965.0,4965.0,4965.0,4965.0,4992.0,4992.0
mean,0.5229896040828697,0.40727096874690405,0.31061444632812,0.35845320366123545,0.3096527027109246,0.8901077469446943,0.8440665952467288,0.021748145301945652
std,0.5639288295750187,0.41449211440624584,0.29235617402995245,0.14619482245801263,0.11316548142143858,0.22166917334882544,0.1141883205653451,0.016306521498413756
min,0.0,0.0,0.0,0.0,0.0,-0.5259082317352295,0.269844114780426,0.0018101334571838
25%,0.2580645161290322,0.196078431372549,8.38826642100846e-155,0.3149858078429506,0.2854511743950256,0.9169836044311525,0.7821152955293655,0.01170514523983
50%,0.4333333333333333,0.34375,0.2934669984187594,0.3567963082668964,0.3155296692645686,0.9697920680046082,0.8790143430233002,0.0180616676807403
75%,0.6923076923076923,0.5161290322580645,0.54300126327093,0.4126656412370697,0.3524387063066376,0.9880517721176147,0.9323274791240692,0.02720694243907925
max,18.5,10.0,1.0,1.0,1.0,1.000000238418579,0.9926897287368774,0.2724302411079407
