,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,3156.0,3156.0,3156.0,3156.0,3156.0,3156.0,3151.0,3151.0
mean,0.43678756731682356,0.3382250295090582,0.38541761446579886,0.40441768662240063,0.33593148324415134,0.8703574996296416,0.8838551695461843,0.020891947694825008
std,0.48726325308620594,0.3375684672832145,0.3390392029138226,0.21918874092283402,0.17403025060223337,0.2659042468971894,0.11047897541275362,0.019588412501150586
min,0.0,0.0,0.0,0.0,0.0,-0.742988109588623,0.2094268500804901,0.0016538500785827
25%,0.1724137931034483,0.125,1.4916681462400622e-154,0.3221727526803078,0.28802403319847836,0.917398989200592,0.8632600605487823,0.00968179106712335
50%,0.3333333333333333,0.25,0.41248168890815756,0.3789324255990921,0.3262879317169437,0.979019433259964,0.9219350218772888,0.0155554413795471
75%,0.5555555555555556,0.4444444444444444,0.6514918857852852,0.47285353535353536,0.3824362318264576,0.99320088326931,0.9519442319869995,0.025664657354354803
max,7.0,3.5,1.0,1.0,1.0,1.000000238418579,0.9932035207748412,0.2786976099014282
