,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0,0.0,0.0
mean,0.20663826096691332,0.16038638127478833,0.6501124215009316,0.41677362547330143,0.348405257829467,0.9693978717122977,,
std,0.2665727989422973,0.21443466542853515,0.2974956201396804,0.15989078481179186,0.12309061622215495,0.11353779681389009,,
min,0.0,0.0,0.0,0.0,0.0,-0.5206834077835083,,
25%,0.064516129032258,0.0416666666666666,0.5274537344993668,0.34154790772724475,0.30057599949889635,0.9842531085014343,,
50%,0.1428571428571428,0.1052631578947368,0.7200391346486708,0.3842149929772487,0.3295781928276097,0.9941574335098268,,
75%,0.2608695652173913,0.21875,0.8618897942972208,0.45323838289524565,0.37228726451244865,0.9984642267227172,,
max,6.0,8.0,1.0,1.0,1.0,1.000000238418579,,
