,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0,2233.0
mean,0.349726929518563,0.25605896438151254,0.5029933402845085,0.4113651007700854,0.3417260117846003,0.8919201663837497,0.9056658744411622,0.021084025068449593
std,0.5243821481551769,0.43329573045762554,0.37997181786246315,0.19684303863566519,0.1616692971391538,0.2554574673883915,0.08969984742514217,0.02027144315886928
min,0.0,0.0,0.0,0.0,0.0,-0.5710861086845398,0.2751072943210602,0.0
25%,0.074074074074074,0.0555555555555555,4.38832006142665e-78,0.3383353004654778,0.2970725068579652,0.9454360008239746,0.8663502335548401,0.0099127888679504
50%,0.2,0.1666666666666666,0.6039141606836518,0.3946079846079845,0.3307242757242757,0.9904129505157472,0.9423571825027466,0.0154417157173156
75%,0.5,0.3333333333333333,0.8266114125804572,0.4779220779220779,0.3847830994172415,0.9987128973007202,0.9665302634239196,0.0238783955574035
max,9.0,10.125,1.0,1.0,1.0,1.000000238418579,1.0,0.2590711712837219
