,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9937.0,9937.0,9937.0,9937.0,9937.0,9937.0,0.0,0.0
mean,0.3466184716864688,0.2366421521386435,0.5115631562343685,0.41860011983452083,0.34689470404124756,0.8989018748204226,,
std,0.4716124175497717,0.2778054482888401,0.36052396750082144,0.2059626990665131,0.1665749691913332,0.24684217878238,,
min,0.0,0.0,0.0,0.0,0.0,-0.5459036827087402,,
25%,0.0952380952380952,0.0666666666666666,6.31399304153334e-78,0.3385188885188884,0.296908166530015,0.96076762676239,,
50%,0.2,0.16,0.6150082203371954,0.3928977946226952,0.3322472579858653,0.991124987602234,,
75%,0.4166666666666667,0.3125,0.8056920633274978,0.4814814814814814,0.3893648200020747,0.9978192448616028,,
max,11.0,8.0,1.0,1.0,1.0,1.000000238418579,,
