,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9933.0,9933.0,9933.0,9933.0,9933.0,9933.0,9934.0,9934.0
mean,0.7776310929949932,0.671050875781978,0.23207915220662503,0.32455876144116963,0.2806965783923415,0.7582389098016132,0.7992616327314855,0.028685577527267535
std,1.5350562986014404,1.2977045303578687,0.28256387189909177,0.18336816727929145,0.14767190398389868,0.3585261051254419,0.14227439649918025,0.02803654391760628
min,0.0,0.0,0.0,0.0,0.0,-0.6929251551628113,0.1636221408843994,0.0006219744682312
25%,0.3125,0.25,1.1640469867513693e-231,0.2760062771997979,0.2584427268637794,0.7018921971321106,0.7152961492538452,0.012180745601654
50%,0.5714285714285714,0.45,4.8564744698390705e-78,0.3457233044733044,0.3077564472872862,0.9468555450439452,0.8291210532188416,0.0197107791900634
75%,1.0,0.7674418604651163,0.4634342976683905,0.4098901098901099,0.3509437304317544,0.9843640327453612,0.9197628647089005,0.033251196146011325
max,112.0,76.0,1.0,1.0,1.0,1.000000238418579,0.9926897287368774,0.3925771117210388
