,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9940.0,9940.0,9940.0,9940.0,9940.0,9940.0,9938.0,9938.0
mean,0.5974327508081765,0.4169715722840111,0.2857751242228653,0.3737855520670695,0.31743004092416566,0.837993082227429,0.8744992388520689,0.017155498883977986
std,0.5260118584263077,0.338846965780861,0.2732962087232216,0.19030118794405687,0.15269953359160052,0.2920157621901677,0.08993536229631673,0.01207908244810014
min,0.0,0.0,0.0,0.0,0.0,-0.6288695335388184,0.3581024408340454,0.0012473464012145
25%,0.3,0.2058823529411764,8.38826642100846e-155,0.31419048713977993,0.2846129652285482,0.8714686781167984,0.8361709117889404,0.008801817893981875
50%,0.4583333333333333,0.3333333333333333,0.2907153684841096,0.3665290691516184,0.3190619504971239,0.9694652259349822,0.9026411175727844,0.01417425274848935
75%,0.7142857142857143,0.5,0.5081327481546147,0.4410674642817499,0.3674126806477647,0.9871047735214233,0.9390002936124802,0.021966844797134323
max,8.0,5.0,1.0,1.0,1.0,1.000000238418579,0.9971001148223876,0.1534737348556518
