,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4991.0,4991.0,4991.0,4991.0,4991.0,4991.0,5027.0,5027.0
mean,0.2357859454937918,0.1875767402733671,0.6223482686006092,0.40907628895261416,0.34205390353444004,0.9546792008037964,0.9280411886640066,0.021113510691007375
std,0.3147041181551934,0.24643858086239068,0.331965105944726,0.16151791745159336,0.1249016327165941,0.1460966746530899,0.07176050078819782,0.019075394393520215
min,0.0,0.0,0.0,0.0,0.0,-0.2629762887954712,0.3842583000659942,0.0016392469406127
25%,0.0588235294117647,0.04,0.4347208719449914,0.3406390016509063,0.2990682791267093,0.9779301881790161,0.9188780188560486,0.0101706981658935
50%,0.1428571428571428,0.1176470588235294,0.7197795533614759,0.3820882398913615,0.3282920551670565,0.994191348552704,0.9555482864379884,0.015767753124237
75%,0.3,0.2589399744572158,0.8787419089273848,0.45453421749718037,0.3728389697676423,0.998720109462738,0.9708741903305054,0.024753600358963
max,7.0,6.5,1.0,1.0,1.0,1.0000003576278689,0.9940559267997742,0.1849507093429565
