,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5221.0,5221.0,5221.0,5221.0,5221.0,5221.0,0.0,0.0
mean,0.3734007363904275,0.3110153722126682,0.48020682413549054,0.40792496370370035,0.33554488927145115,0.9060003809153525,,
std,0.4783848506669933,0.34100821143339766,0.36690023380056197,0.2219471990119842,0.17679948032217727,0.2179136508468275,,
min,0.0,0.0,0.0,0.0,0.0,-0.5822333693504333,,
25%,0.0909090909090909,0.064516129032258,5.572723382540903e-78,0.3322040459540458,0.2914618784752188,0.9429603219032288,,
50%,0.2222222222222222,0.1875,0.573057404379869,0.385649042315709,0.3292869669595495,0.988580286502838,,
75%,0.5454545454545454,0.5,0.7964989497678636,0.4724596391263058,0.3825757575757575,0.9974700212478638,,
max,11.0,4.416666666666667,1.0,1.0,1.0,1.000000238418579,,
