,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9874.0,9874.0,9874.0,9874.0,9874.0,9874.0,9872.0,9872.0
mean,0.4419961881400864,0.33212140995307954,0.3748933312619221,0.4020993475748308,0.3376398604108673,0.8812280745862939,0.8933223531863727,0.018965890483154807
std,0.4246226357923825,0.28537195696807227,0.30905633234552926,0.20180865114657726,0.1639049811227211,0.24878782932711094,0.09395096665187862,0.01692460685309902
min,0.0,0.0,0.0,0.0,0.0,-0.742988109588623,0.2263602018356323,0.0014631748199462
25%,0.2083333333333333,0.1555555555555555,3.73819976895484e-78,0.32662515876032844,0.29120175403405035,0.925104022026062,0.8753917217254639,0.008912533521652149
50%,0.3333333333333333,0.2631578947368421,0.4211904669367208,0.37791527429685323,0.32515254583814757,0.9783934354782104,0.9235817790031433,0.01450800895690915
75%,0.5333333333333333,0.4285714285714285,0.6268593335004975,0.4647714213890684,0.3789330480353008,0.991589605808258,0.950340062379837,0.02328196167945855
max,7.0,5.0,1.0,1.0,1.0,1.000000238418579,0.9906054735183716,0.2786976099014282
