,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0
mean,0.7223126353378054,0.550896375728429,0.23779256169660243,0.32647646734724123,0.2823744241221694,0.7665729215867365,0.8021407040405196,0.022218795880688893
std,1.404105137694716,0.8194271081681486,0.28597207152144943,0.18261898640500038,0.14731908359971108,0.35255043796184277,0.1402926737696884,0.016720933277914962
min,0.0,0.0,0.0,0.0,0.0,-0.6929251551628113,0.1636221408843994,0.0006220340728759
25%,0.3076923076923077,0.2444444444444444,1.2183324802375696e-231,0.2791461118860502,0.2611962275197571,0.729823112487793,0.7209182977676392,0.0115851759910583
50%,0.5625,0.44,5.333384990808849e-78,0.3464009535438105,0.308435185672029,0.948849618434906,0.8315994739532471,0.0183002352714538
75%,1.0,0.7272727272727273,0.4727805712999679,0.4104344729344729,0.3514163524284981,0.984731376171112,0.9206693768501282,0.0282917022705078
max,111.0,55.5,1.0,1.0,1.0,1.000000238418579,0.9926897287368774,0.3842782378196716
