,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5246.0,5246.0,5246.0,5246.0,5246.0,5246.0,0.0,0.0
mean,0.27453362340888193,0.19334207374664164,0.5686752198042914,0.41472192735450547,0.3435205879575084,0.9257349399260373,,
std,0.3921691092399488,0.2398203528979075,0.3593394702994708,0.20510460469276404,0.1631371664336551,0.21271884035754973,,
min,0.0,0.0,0.0,0.0,0.0,-0.4566477537155151,,
25%,0.0625,0.04,0.291898915233791,0.33632281641540884,0.29599036436846016,0.9767704159021378,,
50%,0.1538461538461538,0.1176470588235294,0.6816696767267405,0.3875527980791136,0.33035703929877636,0.9936082363128662,,
75%,0.3333333333333333,0.2564102564102564,0.8492326635760689,0.4696280386280386,0.3820518520895082,0.9989803582429885,,
max,5.0,3.0,1.0,1.0,1.0,1.000000238418579,,
