,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5246.0,5246.0,5246.0,5246.0,5246.0,5246.0,5268.0,5268.0
mean,0.27403012838944757,0.1930013846937829,0.5694110728473041,0.41463151622678385,0.3434524551598562,0.9261490993916823,0.9288072355640323,0.016210887012557674
std,0.3923370805302917,0.23971975770670467,0.3593810845872829,0.20509281675799626,0.1630942037481991,0.21230468792921203,0.06806853809800283,0.011431997948045601
min,0.0,0.0,0.0,0.0,0.0,-0.4566477537155151,0.3034263253211975,0.0012868642807006
25%,0.0625,0.04,0.2941284147751628,0.3362805019055018,0.29593803802993834,0.9768617451190948,0.9149842113256454,0.008709788322448675
50%,0.1538461538461538,0.117156862745098,0.68204425768573,0.3875325291991957,0.33035703929877636,0.9936312437057494,0.9527294635772705,0.013366550207137999
75%,0.3333333333333333,0.2559440559440559,0.8501812393911475,0.46936202686202694,0.38165444220131717,0.9989902526140213,0.9695444852113725,0.0201755762100219
max,5.0,3.0,1.0,1.0,1.0,1.000000238418579,0.9943848252296448,0.1504465937614441
