,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,2230.0,2230.0,2230.0,2230.0,2230.0,2230.0,2226.0,2226.0
mean,0.3441096558116694,0.27740947278482986,0.4546715105392447,0.4116220815270074,0.3445067810355702,0.9064176074684401,0.8985220076313772,0.01990013800541341
std,0.3331329431659222,0.2615830362133467,0.33800694613046295,0.19684069126868842,0.1619738418299735,0.2166682072820757,0.09951021131164853,0.019349342886281044
min,0.0,0.0,0.0,0.0,0.0,-0.3842940330505371,0.2988941669464111,0.0
25%,0.1333333333333333,0.0977608956417433,8.4448432644281885e-78,0.3314815339067498,0.2935446035039816,0.9501474946737289,0.8821509480476379,0.008957967162132225
50%,0.2692307692307692,0.21244358478401032,0.5042242795226966,0.3858481738647027,0.32866085880615264,0.9839584231376648,0.9311409890651703,0.014554351568222
75%,0.4666666666666667,0.3820028011204481,0.7139412307243144,0.4707756749423415,0.37990146966767635,0.9950303137302398,0.9575910270214081,0.023508191108703523
max,5.0,2.5,1.0,1.0,1.0,1.000000238418579,1.0,0.2786968946456909
