,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,4987.0,4987.0,4987.0,4987.0,4987.0,4987.0,5019.0,5019.0
mean,0.20640273017136015,0.1601181449432519,0.6505371732054163,0.416711177921452,0.34834447867131346,0.9696202780838502,0.9405846424455732,0.01635833011250207
std,0.2668470431915848,0.2143469345652456,0.2975823612237069,0.15987052443150784,0.1230286160529784,0.11290588955832195,0.05470417986055254,0.011895265435302149
min,0.0,0.0,0.0,0.0,0.0,-0.5206834077835083,0.3034263253211975,0.0012868642807006
25%,0.0625,0.0416666666666666,0.528384202010086,0.34154790772724475,0.30057599949889635,0.9843463897705078,0.9333295524120331,0.00886058807373045
50%,0.1428571428571428,0.1052631578947368,0.7203362668653466,0.3841327561327561,0.3295781928276097,0.9941632747650146,0.9573555588722228,0.013582706451416
75%,0.2608695652173913,0.21778656126482204,0.8633400213704505,0.45300895249874834,0.37223484058087386,0.998468816280365,0.9706515073776246,0.020455092191696098
max,6.0,8.0,1.0,1.0,1.0,1.000000238418579,0.9943848252296448,0.1504465937614441
