,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,35762.0,35762.0,35762.0,35762.0,35762.0,35762.0,35757.0,35757.0
mean,0.3066447152136293,0.22509943120380765,0.3355082931007608,0.458726656956658,0.36969798617838096,0.8423830372368927,0.8951936228843658,0.019370828620151964
std,0.3651679187662579,0.26075961463370073,0.3794325526344246,0.2962284254141655,0.24508016131451174,0.3105297690610188,0.0944674035549601,0.015014106879246314
min,0.0,0.0,0.0,0.0,0.0,-0.742988109588623,0.2094268500804901,0.0
25%,0.0,0.0,1.0547686614863434e-154,0.3241842023593358,0.2861353311720959,0.8937289267778397,0.8758289813995361,0.0100209712982177
50%,0.2285714285714285,0.1666666666666666,1.2213386697554703e-77,0.4226147186147186,0.3439960503355437,0.9851847589015961,0.9288760423660278,0.0152457356452941
75%,0.5,0.3333333333333333,0.6606328636027614,0.5909090909090909,0.4485786435786435,0.9999999403953552,0.9540752172470092,0.0239530801773071
max,7.0,5.0,1.0,1.0,1.0,1.000000238418579,1.000000238418579,0.2786976099014282
