,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,37155.0,37155.0,37155.0,37155.0,37155.0,37155.0,37155.0,37155.0
mean,0.4788248507876904,0.3555600278191315,0.26194656985217213,0.4116853011337653,0.3326068798134602,0.6740606212985488,0.8840436878306694,0.019807591895174118
std,0.30893906940161264,0.2665570376148503,0.31962406089488093,0.2996628279960914,0.24775575886696508,0.3816984296823375,0.10221576076415319,0.014334583362699958
min,0.0,0.0,0.0,0.0,0.0,-0.7138988971710205,0.2542356252670288,0.0
25%,0.25,0.1666666666666666,1.1795617510369437e-231,0.26553962101455214,0.2430822394616683,0.5398333072662354,0.839611142873764,0.01034563779830925
50%,0.4,0.2857142857142857,5.775353993361614e-78,0.4016666666666667,0.3321017410038792,0.8356061577796936,0.922540009021759,0.0156548619270324
75%,0.6666666666666666,0.5,0.5494093394450095,0.5769230769230769,0.4230006105006105,0.962602823972702,0.9576592445373535,0.0249664783477783
max,11.0,9.0,1.0,1.0,1.0,1.000000238418579,0.9999999403953552,0.2590712308883667
