,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,36762.0,36762.0,36762.0,36761.0,36761.0,36762.0,0.0,0.0
mean,0.28727202923185935,0.21848714473360298,0.36770324545725047,0.4679900266373509,0.37293046483740616,0.8619614053358813,,
std,0.4095160948490635,0.3049390136894786,0.40557107670763565,0.3074930209261989,0.25360298676928733,0.2918892242826789,,
min,0.0,0.0,0.0,0.0,0.0,-0.6845778226852417,,
25%,0.0,0.0,1.0547686614863434e-154,0.331822757396086,0.2880654795779336,0.9147235304117204,,
50%,0.1538461538461538,0.1056618819776714,1.2213386697554703e-77,0.4358225108225108,0.350446729196729,0.9944348633289337,,
75%,0.4375,0.3333333333333333,0.7598356856515925,0.6111111111111112,0.4551767676767677,1.0,,
max,11.0,8.0,1.0,1.0,1.0,1.000000238418579,,
