,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,36634.0,36634.0,36634.0,36634.0,36634.0,36634.0,36659.0,36659.0
mean,0.5103102009530003,0.3369481925138503,0.23082914285278525,0.3963049453715069,0.3238877512513708,0.7536089881456364,0.8592574956497795,0.019030380229187148
std,0.46429078823166664,0.3094246201958228,0.32147270010352075,0.28706172260220336,0.23504361026165957,0.368022657366352,0.10246675339124288,0.013813536173270847
min,0.0,0.0,0.0,0.0,0.0,-0.7774619460105896,0.3581024408340454,0.0
25%,0.2,0.125,1.5319719891192393e-231,0.25,0.2399439600235362,0.6730861216783524,0.8052479028701782,0.0101238489151
50%,0.4285714285714285,0.2580645161290322,2.9047900104103317e-78,0.3839160839160838,0.3241224370122975,0.9597972631454468,0.8909866213798523,0.0153077840805053
75%,0.7142857142857143,0.5,0.4797543511401896,0.5555555555555556,0.41144589099980167,0.9937126487493515,0.9387677609920502,0.02355974912643425
max,8.0,5.0,1.0,1.0,1.0,1.0000003576278689,0.9999998807907104,0.1534737348556518
