,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,36190.0,36190.0,36190.0,36190.0,36190.0,36190.0,36217.0,36217.0
mean,0.8182858518906121,0.6102288218850117,0.1327042476045222,0.2792451355334142,0.23952688368740946,0.5935382444803706,0.7607078660751333,0.02342700119076744
std,1.2071812157897786,1.0349482562147658,0.24824798170179158,0.24178620820580113,0.20162086983599514,0.423128660323715,0.13863477838165264,0.0172942610618169
min,0.0,0.0,0.0,0.0,0.0,-0.7928153276443481,0.1327657103538513,0.0
25%,0.4285714285714285,0.3,0.0,0.0,0.0,0.13001835346221918,0.6604680418968201,0.012531578540802
50%,0.75,0.5,1.4688840424383648e-231,0.3142857142857143,0.28418295492861606,0.7960572242736816,0.7762839794158936,0.0191313028335571
75%,1.0,0.8333333333333334,0.18000257834153216,0.4114635106895168,0.3483782149223325,0.9677149802446365,0.8783015012741089,0.0298770070075988
max,111.0,110.5,1.0,1.0,1.0,1.000000238418579,0.9999998807907104,0.3842782378196716
