,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,36883.0,36883.0,36883.0,36883.0,36883.0,36883.0,36921.0,36921.0
mean,0.8774430126179712,0.7466443581518916,0.1275584547774781,0.2747019951966624,0.23562934731146748,0.5815664943014679,0.7570264224301134,0.0291920062399211
std,1.3211284510544201,1.3898420587912461,0.24294794028939076,0.24158290797565238,0.20128767433341438,0.42628536187799526,0.14023412337791397,0.026130762522100826
min,0.0,0.0,0.0,0.0,0.0,-0.7891563177108765,0.1327657103538513,0.0
25%,0.4285714285714285,0.3214285714285714,0.0,0.0,0.0,0.0981327332556247,0.6530939936637878,0.0131227970123291
50%,0.7777777777777778,0.5454545454545454,1.384292958842266e-231,0.3108155662001814,0.2818743013429976,0.7785958051681519,0.7732959985733032,0.0202133059501647
75%,1.0,0.9285714285714286,0.14566845693746722,0.4098901098901099,0.3469387755102041,0.9659447371959686,0.8762620687484741,0.0347327589988708
max,112.0,119.0,1.0,1.0,1.0,1.000000238418579,1.000000238418579,0.3925771117210388
