,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,36701.0,36701.0,36701.0,36700.0,36700.0,36701.0,0.0,0.0
mean,0.28264338664011013,0.21728004520329022,0.3681993002473797,0.46884420865109594,0.37363066035513404,0.863336564484827,,
std,0.402810506062065,0.2940906006389263,0.40586500848163487,0.3075381224153057,0.25380323919602,0.2917793644660537,,
min,0.0,0.0,0.0,0.0,0.0,-0.6845778226852417,,
25%,0.0,0.0,1.0547686614863434e-154,0.33232975331590053,0.28809965272835364,0.9193025231361388,,
50%,0.1538461538461538,0.1111111111111111,1.2213386697554703e-77,0.4366041366041366,0.3501321075557769,0.9945401549339294,,
75%,0.4285714285714285,0.3333333333333333,0.7607697202182577,0.6111111111111112,0.4552721088435376,1.0,,
max,11.0,7.333333333333333,1.0,1.0,1.0,1.000000238418579,,
